player_name,country,points,position,move,gender
Arturo Coello,ESP,19800,1,0,M
Agustin Tapia,ARG,19800,1,0,M
Alejandro Galan,ESP,17320,3,0,M
Federico Chingotto,ARG,17320,3,0,M
Franco Stupaczuk,ARG,7905,5,0,M
Juan Lebron,ESP,7845,6,0,M
Jorge Nieto,ESP,6322,7,0,M
Miguel Yanguas,ESP,6322,7,0,M
Francisco Navarro,ESP,6115,9,0,M
Leandro Augsburger,ARG,5155,10,0,M
Jon Sanz,ESP,5125,11,0,M
Martin Di Nenno,ARG,5110,12,0,M
Lucas Bergamini,BRA,4550,13,0,M
Francisco Guerrero,ESP,4410,14,0,M
Jeronimo Gonzalez,ESP,4350,15,0,M
Javier Leal,ESP,3665,16,0,M
Juan Tello,ARG,3330,17,0,M
Eduardo Alonso,ESP,2955,18,0,M
Leonel Daniel Aguirre,ARG,2870,19,0,M
Gonzalo Gabriel Alfonso,ARG,2760,20,0,M
Alejandro Ruiz,ESP,2570,21,0,M
Javier Garrido,ESP,2528,22,0,M
Javier Garcia,ESP,2500,23,0,M
Javier Barahona,ESP,2475,24,0,M
Pablo Cardona,ESP,2400,25,0,M
Alejandro Arroyo,ESP,2354,26,0,M
Juanlu Esbri,ESP,2292,27,0,M
Lucas Campagnolo,BRA,2280,28,0,M
Alex Chozas,ARG,2252,29,0,M
Jairo Bautista,ESP,2201,30,0,M
Carlos Daniel Gutierrez,ARG,2148,31,0,M
Inigo Jofre,UAE,1941,32,0,M
Jose Antonio Diestro,ESP,1935,33,0,M
Victor Ruiz,ESP,1794,34,0,M
David Gala Sanchez,ESP,1736,35,0,M
Jose Jimenez Casas,ESP,1591,36,0,M
Pablo Garcia Rodrigo,ESP,1580,37,0,M
Javier Ruiz,ESP,1518,38,0,M
Francisco Cabeza Teres,ESP,1507,39,0,M
Pol Hernandez Alvarez,ESP,1506,40,0,M
Guillermo Collado Losada,ESP,1463,41,0,M
Gonzalo Rubio,ESP,1461,42,0,M
Maximiliano Sanchez Blasco,ARG,1449,43,0,M
Valentino Gabriel Libaak,ARG,1447,44,0,M
Francisco Manuel Gil,ESP,1398,45,0,M
Pablo Lijo,ESP,1390,46,1,M
Diego Garcia Garcia,ESP,1379,47,-1,M
Nuno Deus,POR,1367,48,0,M
Miguel Deus,POR,1367,48,0,M
Alvaro Cepero,ESP,1325,50,0,M
Maximiliano Sanchez,ARG,1293,51,0,M
Eduardo Agustin Torre,ARG,1209,52,0,M
Juan Ignacio Rubini,ARG,1184,53,0,M
Denis Tomas Perino,ITA,1181,54,0,M
Ignacio Piotto Albornoz,ARG,1169,55,0,M
Ignacio Sager,ESP,1145,56,0,M
Luis Hernandez Quesada,ESP,1138,57,0,M
Andres Fernandez Lancha,ESP,1104,58,0,M
Maximiliano Arce Simo,ARG,1085,59,0,M
Enrique Goenaga,ESP,1060,60,0,M
Jose Luis Gonzalez,ESP,1060,60,0,M
Facundo Dominguez,ITA,1040,62,0,M
Antonio Fernandez,ESP,1024,63,0,M
Enzo Jensen Sirvent,ITA,1003,64,0,M
Aimar Goñi Lacabe,ESP,985,65,0,M
Javier Martinez,ESP,982,66,0,M
Juan Cruz Belluati,ARG,975,67,0,M
Aris Patiniotis,ITA,965,68,0,M
Alonso Rodriguez Martinez,ESP,964,69,0,M
Mario Del Castillo,ESP,963,70,0,M
Mario Huete Hernandez,ESP,962,71,0,M
Marc Sintes Villalonga,ESP,954,72,0,M
Marco Cassetta,ITA,953,73,0,M
Mario Ortega,ESP,947,74,0,M
Flavio Abbate,ITA,945,75,0,M
Daniel Santigosa Sastre,ESP,942,76,0,M
Emilio Sanchez Chamero,ESP,940,77,0,M
Anton Sans,ESP,931,78,0,M
Federico Mouriño,ARG,928,79,0,M
Marc Quilez,ESP,911,80,0,M
Teodoro Zapata,ESP,911,80,0,M
Manuel Castaño Salguero,ESP,894,82,0,M
Alvaro Montiel Caruso,ITA,878,83,0,M
Javier Valdes,CHI,853,84,0,M
Ramiro Jesus Valenzuela,ARG,848,85,0,M
Agustin Gutierrez,ARG,839,86,0,M
Álvaro Melendez Amaya,ESP,824,87,0,M
Miguel Lamperti,ARG,818,88,0,M
Salvador Oria,ESP,812,89,0,M
Adam Axelsson,SWE,810,90,0,M
Ignacio Vilariño Gestoso,ESP,772,91,0,M
Clement Geens,BEL,744,92,0,M
Jesus Moya,ESP,728,93,0,M
Simone Cremona,ITA,709,94,3,M
Alejandro Jerez Carnero,ESP,696,95,-1,M
Simon Vasquez,SWE,694,96,-1,M
Boris Castro Garcia,ESP,691,97,-1,M
Jaume Romera Barcelo,ESP,646,98,0,M
Nacho Moragues Moltò,ESP,616,99,0,M
Luciano Capra,ARG,596,100,0,M
Jose Rico,ESP,578,101,0,M
Juan Ignacio De Pascual,ARG,571,102,0,M
Ferran Insa Sotillo,ESP,569,103,0,M
Mariano Agustin Gonzalez San Martin,PAR,567,104,0,M
Juan Zamora Perez,ESP,565,105,0,M
Adrian Marques Berdonce,ESP,549,106,0,M
Alberto Garcia Jimenez,ESP,549,106,0,M
Rafael Mendez,ESP,521,108,0,M
Arnau Ayats,UAE,512,109,1,M
Ramiro Moyano,ARG,502,110,2,M
Javier Rico,ESP,500,111,2,M
Guillem Figuerola Santiago,ESP,499,112,-3,M
Simone Iacovino,ITA,489,113,1,M
Rodrigo Coello Manso,ESP,487,114,1,M
Manuel Aragon Herrera,ESP,485,115,2,M
Pedro Melendez Amaya,ESP,484,116,2,M
Christian Medina Murphy,GBR,477,117,2,M
Pepe Aliaga,ESP,473,118,-2,M
Roberto Belmont Pastor,ESP,469,119,-8,M
Santiago Jose Pineda Cabello,ESP,460,120,0,M
Diego Gil,ESP,455,121,0,M
Thijs Roper,NED,453,122,0,M
Youp De Kroon,NED,451,123,0,M
Diego Dorta Diaz,ESP,450,124,0,M
Johan Bergeron,FRA,444,125,0,M
Bastien Blanque,FRA,441,126,0,M
Lorenzo Di Giovanni,ITA,441,126,0,M
Sten Richters,NED,436,128,7,M
Nicolas Suescun,ITA,435,129,-1,M
Dylan Guichard,FRA,428,130,0,M
Fran Ramirez Navas,ESP,427,131,0,M
Giulio Graziotti,ITA,422,132,0,M
Julian Prins,NED,411,133,0,M
Alvaro Pozo Marroyo,ESP,408,134,0,M
Marcos Gonzalez Blanco,ESP,406,135,1,M
Miguel Melero Bernal,ESP,401,136,1,M
Gustavo Nunes,POR,400,137,1,M
Albert Roglan Pons,ESP,397,138,1,M
Alberto Garcia Trabanco,ESP,394,139,1,M
Pau Miñano Ortinez,ESP,389,140,1,M
Diego Arredondo Garcia,MEX,387,141,7,M
Martin Abud,PAR,387,141,1,M
Christian Fuster,ESP,385,143,0,M
Albin Olsson,SWE,384,144,0,M
Julian Lacamoire,ARG,384,144,0,M
Manuel Gayone,ARG,382,146,0,M
Youssef Hossam,EGY,382,146,0,M
Victor Tur Checa,ESP,375,148,-19,M
Miguel Angel Solbes,ESP,372,149,0,M
Miguel Gonzalez,ESP,370,150,0,M
Victor Mena,ESP,370,150,0,M
Miguel Benitez Lara,ESP,368,152,0,M
Albert Trillas Garcia,ESP,365,153,0,M
José Enrique Giménez Barcelona,ESP,364,154,0,M
Nicolas Zurita,ITA,359,155,0,M
Renzo Gabriel Nuñez,ARG,353,156,0,M
Facundo Rodrigo Luis Lopez,ARG,352,157,1,M
Pedro Araujo,POR,351,158,1,M
Pablo Sanchez Vicente,ESP,347,159,1,M
Felipe Calleja,ARG,340,160,1,M
Marcos Cordoba,ESP,338,161,-5,M
Axel William Guevara,ARG,336,162,0,M
Agustin Reca,GER,335,163,0,M
Adrian Naranjo Martinez,ESP,330,164,0,M
Thomas Leygue,FRA,329,165,0,M
Guillermo Fernandez Sanchez,ESP,329,165,0,M
Joao Maria Caiano,POR,328,167,0,M
Jaime Munoz,ESP,328,167,0,M
Alejandro Calvo Perez,ESP,324,169,1,M
Antonio Luque,POR,324,169,1,M
Julien Seurin,FRA,324,169,0,M
Facundo Dehnike,PAR,323,172,0,M
Alvaro Lopez Luque,ESP,321,173,0,M
Alfonso Sanchez Arriaga,ESP,320,174,0,M
Menno Nolten,NED,315,175,0,M
Federico Chiostri,ARG,308,176,0,M
Alejandro Merino Nieto,ESP,303,177,0,M
Afonso Fazendeiro,POR,302,178,0,M
Sergio Icardo,UAE,301,179,0,M
Diogo Jesus,POR,290,180,1,M
Adrian Ronco Lopez,ESP,286,181,1,M
Sergio Tierno Herrero,ESP,286,181,1,M
Daniel Windahl,SWE,279,183,1,M
Ivan Ramirez,ESP,277,184,1,M
Pablo Castillo Valverde,ESP,276,185,1,M
Pablo Molina Tofanelli,ARG,275,186,1,M
Timeo Fonteny,FRA,272,187,1,M
Luciano Puppo,ARG,269,188,1,M
Maxime Joris,FRA,268,189,0,M
Joel Olivera Palos,ESP,267,190,-10,M
Candido Jorge Alfaro,ESP,265,191,0,M
Jairo Guerrero Escarcena,ESP,261,192,1,M
Luis Oliver Artigas,ESP,260,193,10,M
Philemon Raichman,FRA,260,193,-2,M
Hector Vazquez Lopez,ESP,258,195,-1,M
Gerard Arnaldos Serrano,ESP,258,195,-1,M
Cristobal Martinez,CHI,258,195,-1,M
Juan Pablo Dametto,ARG,258,195,-1,M
Marcel Font,ESP,257,199,-1,M
Jose Solano Marmolejo,ESP,254,200,-1,M
Antonio Varo Ramos,ESP,249,201,-1,M
Yoan Boronad,FRA,247,202,-1,M
Bart Van Opstal,NED,247,202,-1,M
Toni Bueno,ESP,245,204,0,M
Sergio Arias Aznar,ESP,245,204,0,M
Cristian German Gutierrez,ARG,243,206,0,M
Kevin Uriel Kviatkovski,ARG,242,207,0,M
Pedro Graca,POR,239,208,0,M
Maximo Jesus Maldonado,ARG,233,209,0,M
Franco Renato Dal Bianco,ARG,231,210,0,M
Samuel Rivas Garcia,ESP,230,211,0,M
Mattia Di Bari,ITA,227,212,0,M
Oscar Matias Almada,ARG,225,213,0,M
Pedro Perry,POR,225,213,0,M
Dylan Demian Cuello,ARG,223,215,0,M
Pablo Reina Ambel,ESP,222,216,0,M
Karlos Rodriguez Vidal,ESP,222,216,0,M
Ignacio Archieri,ARG,221,218,0,M
Jose Pablo Padilla,MEX,220,219,0,M
Ramiro Pereyra,ARG,219,220,0,M
Juan Manuel Argañaras,ARG,219,220,0,M
Wagdy Raslan,EGY,219,220,0,M
Jose Roman Martinez Sanchis,ESP,219,220,0,M
Vinny Nahuel Di Francesco,USA,214,224,0,M
Miguel Morales Domenech,ESP,212,225,0,M
Henrique Barbosa,POR,212,225,0,M
Borja Trujillo Chang,ESP,211,227,0,M
Nicolas Crosio,ARG,210,228,0,M
Antonio Palma,ITA,209,229,0,M
Daniele Cattaneo,ITA,207,230,0,M
Douglas Rutgersson,SWE,207,230,0,M
Francisco Jurado Sosa,UAE,204,232,0,M
Leonardo Yob,ARG,204,232,0,M
Isaac Huysveld,BEL,203,234,0,M
Zé Alexandre Meireles,POR,203,234,0,M
Vasco Pascoal,POR,197,236,0,M
Santino Giuliani Lombardo,ITA,195,237,0,M
Andrea Mangiante,ITA,190,238,1,M
Matteo Sargolini,ITA,188,239,1,M
Thomas Panken,NED,188,239,1,M
Santiago Rolla,ARG,187,241,1,M
Francisco Maier,ARG,186,242,1,M
Carlos Marti,ESP,186,242,1,M
Miguel Oliveira,POR,183,244,1,M
Joaquin Nicolas Escalona Linz,CHI,183,244,1,M
Nicolas Rouanet,FRA,180,246,-8,M
Willy Släryd,SWE,180,246,1,M
Daniel Appelgren,SWE,178,248,0,M
Georges Wakim,EGY,176,249,11,M
Iago Fuertes Leonardo,ESP,176,249,0,M
Arthur Hugounenq,FRA,175,251,-1,M
Sergio Nieto Simon,ESP,173,252,0,M
Pier Giulio Farabbi,ITA,172,253,-2,M
Victor Ortega Garcia,ESP,172,253,1,M
Sergi Guimet Bigas,ESP,169,255,8,M
Mateo Rivero,ARG,169,255,0,M
Adrian Rodriguez rodriguez-Manzaneque,ESP,168,257,-5,M
Noe Sanchez Del Viejo,ESP,167,258,-2,M
Pablo Cuesta Gomez,ESP,165,259,-2,M
Oscar Sebber Gormsen,DEN,163,260,-2,M
Jordi Casanova Bataller,ESP,163,260,-2,M
Aly Zaghloul,EGY,160,262,-1,M
Noa Bonnefoy,ITA,159,263,-1,M
Jorrit Hazebroek,NED,155,264,-1,M
Nino Zweers,NED,154,265,0,M
Bohou Zhang,CHN,154,265,0,M
Juan Cruz Forastello,ARG,153,267,0,M
Roger Aromi Siquier,ESP,153,267,0,M
Steve Piernicola Stracquadaini,ITA,150,269,1,M
Matheus De Avila Simonato,BRA,150,269,1,M
Bram Meijer,NED,149,271,2,M
Thomas Vanbauce,FRA,148,272,-2,M
Giuseppe Fino,ITA,148,272,2,M
Marc Lupon Martinez,ESP,147,274,-5,M
Mateo Conte Gonzalez,ARG,147,274,1,M
Octavio Alvarez,ARG,146,276,0,M
Juan Jose Dominguez Cruz,ESP,146,276,0,M
Carlos Perez Cabeza,ESP,144,278,0,M
Diogo Correa Rodrigues,BRA,144,278,0,M
Ignacio Alonso Chillaron,ESP,143,280,0,M
Federico Galli,ITA,142,281,0,M
Simone Vaccari,ITA,140,282,1,M
Arnau Candelo Casas,ESP,139,283,1,M
Lucas Cunha,BRA,139,283,1,M
Mateo Alvarez,CHI,138,285,1,M
Marc Bernils Garcia,ESP,137,286,1,M
Joaquin De Astoreca,ARG,137,286,1,M
