id,name,category,round,round_name,index,played_at,status,score,winner,duration_minutes,players,competition_source,season_year,tournament_name,court
6987,Tapia/Coello - Chingotto/Galan,men,1,Finals,0,2025-12-14,finished,"[{'team_1': '6(4)', 'team_2': '7'}, {'team_1': '6', 'team_2': '3'}, {'team_1': '7', 'team_2': '6(4)'}]",team_1,172.0,"{'team_1': [{'id': 66, 'self': '/api/players/66', 'name': 'Agustin Tapia', 'side': 'backhand', 'connections': {'pair': '/api/pairs/66-65'}}, {'id': 65, 'self': '/api/players/65', 'name': 'Arturo Coello', 'side': 'drive', 'connections': {'pair': '/api/pairs/66-65'}}], 'team_2': [{'id': 114, 'self': '/api/players/114', 'name': 'Federico Chingotto', 'side': 'drive', 'connections': {'pair': '/api/pairs/114-115'}}, {'id': 115, 'self': '/api/players/115', 'name': 'Alejandro Galan', 'side': 'backhand', 'connections': {'pair': '/api/pairs/114-115'}}]}",FIP,2026,Season 5,Center Court
7018,Triay/Brea - Fernandez/Gonzalez,women,1,Finals,0,2025-12-14,finished,"[{'team_1': '4', 'team_2': '6'}, {'team_1': '6', 'team_2': '0'}, {'team_1': '3', 'team_2': '6'}]",team_2,129.0,"{'team_1': [{'id': 433, 'self': '/api/players/433', 'name': 'Gemma Triay Pons', 'side': None, 'connections': {'pair': '/api/pairs/433-434'}}, {'id': 434, 'self': '/api/players/434', 'name': 'Delfina Brea Senesi', 'side': None, 'connections': {'pair': '/api/pairs/433-434'}}], 'team_2': [{'id': 412, 'self': '/api/players/412', 'name': 'Claudia Fernandez Sanchez', 'side': None, 'connections': {'pair': '/api/pairs/412-413'}}, {'id': 413, 'self': '/api/players/413', 'name': 'Beatriz Gonzalez Fernandez', 'side': None, 'connections': {'pair': '/api/pairs/412-413'}}]}",FIP,2026,Season 5,Center Court
6985,Tapia/Coello - Di Nenno/Stupaczuk,men,2,Semifinals,0,2025-12-13,finished,"[{'team_1': '7', 'team_2': '5'}, {'team_1': '6', 'team_2': '2'}]",team_1,104.0,"{'team_1': [{'id': 66, 'self': '/api/players/66', 'name': 'Agustin Tapia', 'side': 'backhand', 'connections': {'pair': '/api/pairs/66-65'}}, {'id': 65, 'self': '/api/players/65', 'name': 'Arturo Coello', 'side': 'drive', 'connections': {'pair': '/api/pairs/66-65'}}], 'team_2': [{'id': 103, 'self': '/api/players/103', 'name': 'Martin Di Nenno', 'side': 'drive', 'connections': {'pair': '/api/pairs/103-87'}}, {'id': 87, 'self': '/api/players/87', 'name': 'Franco Stupaczuk', 'side': 'backhand', 'connections': {'pair': '/api/pairs/103-87'}}]}",FIP,2026,Season 5,Center Court
6986,Navarro/Sanz - Chingotto/Galan,men,2,Semifinals,1,2025-12-13,finished,"[{'team_1': '2', 'team_2': '6'}, {'team_1': '4', 'team_2': '6'}]",team_2,95.0,"{'team_1': [{'id': 77, 'self': '/api/players/77', 'name': 'Francisco Navarro', 'side': 'backhand', 'connections': {'pair': '/api/pairs/77-79'}}, {'id': 79, 'self': '/api/players/79', 'name': 'Jon Sanz', 'side': 'drive', 'connections': {'pair': '/api/pairs/77-79'}}], 'team_2': [{'id': 114, 'self': '/api/players/114', 'name': 'Federico Chingotto', 'side': 'drive', 'connections': {'pair': '/api/pairs/114-115'}}, {'id': 115, 'self': '/api/players/115', 'name': 'Alejandro Galan', 'side': 'backhand', 'connections': {'pair': '/api/pairs/114-115'}}]}",FIP,2026,Season 5,Center Court
7016,Triay/Brea - Ustero/Araujo,women,2,Semifinals,0,2025-12-13,finished,"[{'team_1': '6', 'team_2': '1'}, {'team_1': '6', 'team_2': '4'}]",team_1,97.0,"{'team_1': [{'id': 433, 'self': '/api/players/433', 'name': 'Gemma Triay Pons', 'side': None, 'connections': {'pair': '/api/pairs/433-434'}}, {'id': 434, 'self': '/api/players/434', 'name': 'Delfina Brea Senesi', 'side': None, 'connections': {'pair': '/api/pairs/433-434'}}], 'team_2': [{'id': 410, 'self': '/api/players/410', 'name': 'Andrea Ustero Prieto', 'side': None, 'connections': {'pair': '/api/pairs/410-411'}}, {'id': 411, 'self': '/api/players/411', 'name': 'Sofia Araujo', 'side': None, 'connections': {'pair': '/api/pairs/410-411'}}]}",FIP,2026,Season 5,Center Court
7017,Gonzalez/Fernandez - Sanchez/Josemaria,women,2,Semifinals,1,2025-12-13,finished,"[{'team_1': '6', 'team_2': '4'}, {'team_1': '6', 'team_2': '2'}]",team_1,133.0,"{'team_1': [{'id': 413, 'self': '/api/players/413', 'name': 'Beatriz Gonzalez Fernandez', 'side': None, 'connections': {'pair': '/api/pairs/413-412'}}, {'id': 412, 'self': '/api/players/412', 'name': 'Claudia Fernandez Sanchez', 'side': None, 'connections': {'pair': '/api/pairs/413-412'}}], 'team_2': [{'id': 388, 'self': '/api/players/388', 'name': 'Ariana Sanchez Fallada', 'side': None, 'connections': {'pair': '/api/pairs/388-389'}}, {'id': 389, 'self': '/api/players/389', 'name': 'Paula Josemaria Martin', 'side': None, 'connections': {'pair': '/api/pairs/388-389'}}]}",FIP,2026,Season 5,Center Court
6983,Nieto/Yanguas - Navarro/Sanz,men,4,Quarter,2,2025-12-12,finished,"[{'team_1': '2', 'team_2': '6'}, {'team_1': '6(2)', 'team_2': '7'}]",team_2,99.0,"{'team_1': [{'id': 90, 'self': '/api/players/90', 'name': 'Jorge Nieto', 'side': 'backhand', 'connections': {'pair': '/api/pairs/90-89'}}, {'id': 89, 'self': '/api/players/89', 'name': 'Miguel Yanguas', 'side': 'drive', 'connections': {'pair': '/api/pairs/90-89'}}], 'team_2': [{'id': 77, 'self': '/api/players/77', 'name': 'Francisco Navarro', 'side': 'backhand', 'connections': {'pair': '/api/pairs/77-79'}}, {'id': 79, 'self': '/api/players/79', 'name': 'Jon Sanz', 'side': 'drive', 'connections': {'pair': '/api/pairs/77-79'}}]}",FIP,2026,Season 5,Center Court
6984,Gonzalez/Guerrero - Galan/Chingotto,men,4,Quarter,3,2025-12-12,finished,"[{'team_1': '0', 'team_2': '6'}, {'team_1': '4', 'team_2': '6'}]",team_2,68.0,"{'team_1': [{'id': 78, 'self': '/api/players/78', 'name': 'Momo Gonzalez', 'side': 'backhand', 'connections': {'pair': '/api/pairs/78-82'}}, {'id': 82, 'self': '/api/players/82', 'name': 'Francisco Guerrero', 'side': 'drive', 'connections': {'pair': '/api/pairs/78-82'}}], 'team_2': [{'id': 115, 'self': '/api/players/115', 'name': 'Alejandro Galan', 'side': 'backhand', 'connections': {'pair': '/api/pairs/115-114'}}, {'id': 114, 'self': '/api/players/114', 'name': 'Federico Chingotto', 'side': 'drive', 'connections': {'pair': '/api/pairs/115-114'}}]}",FIP,2026,Season 5,Center Court
7014,Fernandez/Gonzalez - Alonso/Jensen,women,4,Quarter,2,2025-12-12,finished,"[{'team_1': '6', 'team_2': '4'}, {'team_1': '4', 'team_2': '6'}, {'team_1': '6', 'team_2': '4'}]",team_1,151.0,"{'team_1': [{'id': 412, 'self': '/api/players/412', 'name': 'Claudia Fernandez Sanchez', 'side': None, 'connections': {'pair': '/api/pairs/412-413'}}, {'id': 413, 'self': '/api/players/413', 'name': 'Beatriz Gonzalez Fernandez', 'side': None, 'connections': {'pair': '/api/pairs/412-413'}}], 'team_2': [{'id': 398, 'self': '/api/players/398', 'name': 'Alejandra Alonso De Villa', 'side': None, 'connections': {'pair': '/api/pairs/398-399'}}, {'id': 399, 'self': '/api/players/399', 'name': 'Claudia Jensen', 'side': None, 'connections': {'pair': '/api/pairs/398-399'}}]}",FIP,2026,Season 5,Center Court
7015,Salazar/Calvo - Josemaria/Sanchez,women,4,Quarter,3,2025-12-12,finished,"[{'team_1': '2', 'team_2': '6'}, {'team_1': '6', 'team_2': '1'}, {'team_1': '1', 'team_2': '6'}]",team_2,123.0,"{'team_1': [{'id': 424, 'self': '/api/players/424', 'name': 'Alejandra Salazar Bengoechea', 'side': None, 'connections': {'pair': '/api/pairs/424-469'}}, {'id': 469, 'self': '/api/players/469', 'name': 'Martina Calvo Santamaria', 'side': None, 'connections': {'pair': '/api/pairs/424-469'}}], 'team_2': [{'id': 389, 'self': '/api/players/389', 'name': 'Paula Josemaria Martin', 'side': None, 'connections': {'pair': '/api/pairs/389-388'}}, {'id': 388, 'self': '/api/players/388', 'name': 'Ariana Sanchez Fallada', 'side': None, 'connections': {'pair': '/api/pairs/389-388'}}]}",FIP,2026,Season 5,Center Court
