id,name,category,gender,ranking,points,nationality,birthplace,birthdate,age,hand,side,height
1,Facundo Dominguez,men,M,63.0,1040.0,IT,Mar del Plata,1997-11-09,28.0,right,drive,172.0
2,Denis Tomas Perino,men,M,54.0,1181.0,IT,Córdoba,1996-01-08,30.0,left,drive,174.0
3,Juan Carlos Vargas Vera,men,M,666.0,32.0,MX,,1999-09-13,26.0,,,
4,Sergio Jimenez Amozurrutia,men,M,500.0,55.0,MX,,1988-04-17,37.0,,,
5,Zé Alexandre Meireles,men,M,236.0,203.0,PT,Guimaraes,1999-11-30,26.0,,backhand,185.0
6,Joao Maria Caiano,men,M,166.0,328.0,PT,Porto,2005-02-23,20.0,,drive,174.0
7,Vasco Pascoal,men,M,241.0,197.0,PT,Lisbon,1988-11-21,37.0,,backhand,182.0
8,Miguel Oliveira,men,M,250.0,183.0,PT,Oeiras,1988-02-28,37.0,,drive,178.0
9,Oscar Matias Almada,men,M,217.0,225.0,AR,Santiago del Estero,1994-03-02,31.0,,drive,190.0
10,Juan Manuel Argañaras,men,M,225.0,219.0,AR,Santiago del Estero,1988-07-20,37.0,,backhand,175.0
11,Thijs Roper,men,M,120.0,467.0,NL,Maarn,2005-03-07,20.0,,backhand,
12,Pau Miñano Ortinez,men,M,138.0,400.0,ES,Palma,2005-11-03,20.0,,drive,180.0
13,Matias Emiliano Gutierrez C.,men,M,307.0,122.0,AR,Córdoba,1995-06-02,30.0,,backhand,186.0
14,Amilcar Gaston Bejarano,men,M,938.0,17.0,AR,Luján,1995-06-09,30.0,,drive,179.0
15,Boris Castro Garcia,men,M,97.0,691.0,ES,Douala,1998-06-11,27.0,right,backhand,184.0
16,Enzo Jensen,men,M,64.0,1003.0,IT,Madrid,2006-05-17,19.0,left,drive,174.0
17,Tolito Aguirre,men,M,19.0,2870.0,AR,Buenos Aires,1997-12-23,28.0,right,drive,180.0
18,Gonzalo Alfonso,men,M,20.0,2760.0,AR,General Cabrera,1996-03-30,29.0,right,backhand,170.0
19,Ionian Antonelly Carballo Hernandez,men,M,1028.0,14.0,MX,México D.F.,2001-09-16,24.0,,backhand,174.0
20,Maximiliano Montaño,men,M,527.0,50.0,MX,Ciudad de México,2003-01-22,23.0,,drive,174.0
21,Francisco Coirini,men,M,540.0,48.0,AR,Villamaria,2001-11-12,24.0,,,185.0
22,Ivo Agustin Nuñez,men,M,505.0,54.0,AR,Presidencia de la Plaza,2003-08-13,22.0,,drive,183.0
23,Jose Maria Alvarez Torres,men,M,590.0,40.0,MX,Puebla,1999-06-08,26.0,,drive,164.0
24,Christian Orduña Guzman,men,M,635.0,35.0,MX,Puebla,1988-12-27,37.0,,,178.0
25,Juan Ignacio Franco Rodriguez,men,M,,,AR,,,,,,
26,Matias Soto,men,M,332.0,110.0,CL,,2004-03-05,21.0,,,
27,Moises Rafael Castillo Contreras,men,M,618.0,37.0,MX,,1999-01-11,27.0,,,
28,Mauricio Suarez Gonzalez,men,M,465.0,62.0,MX,,2000-07-14,25.0,,,
29,Gaston Lazzarini,men,M,297.0,133.0,AR,La Vertientes,1998-08-08,27.0,,drive,170.0
