title,vendor,product_type,price,sku,created_at,shape,foam,game_level,frame,surface,color,racket_type,balance,gender,weight
Raquette de padel Babolat Air Viper 2025,Babolat,Raquettes,269.9,8732,2024-12-18 15:42:49+00:00,forme,mousse,expert,carbone,sand,bleu,,,,poids
Raquette de padel Head Vibe Vert 2026,Head,Raquettes,89.9,12204,2026-01-08 09:39:30+00:00,forme,foam,,carbone,,,,,,
Raquette de padel Starvie Nyra 2026,Starvie,Raquettes,114.9,12082,2026-01-02 09:56:00+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Starvie Arkos 2026,Starvie,Raquettes,114.9,12081,2026-01-02 09:02:03+00:00,forme,mousse,,carbone,,bleu,,,,
Raquette de padel Starvie Polaris 2026,Starvie,Raquettes,156.9,12080,2025-12-31 16:14:32+00:00,forme,mousse,,carbone,,,polyvalente,,,
Raquette de padel Starvie Kenta+ 2026,Starvie,Raquettes,237.9,12079,2025-12-31 14:44:31+00:00,,mousse,,carbone,,,,,,
Raquette de padel Starvie Drax+ 2026,Starvie,Raquettes,242.9,12078,2025-12-31 14:25:37+00:00,forme,mousse,,carbone,,,polyvalente,balance,,
Raquette de padel Starvie Triton Balance + 2026,Starvie,Raquettes,264.9,12076,2025-12-31 14:04:26+00:00,forme,mousse,,carbone,,,polyvalente,balance,,poids
Raquette de padel Starvie Triton Power+ 2026,Starvie,Raquettes,265.9,12074,2025-12-31 11:19:55+00:00,forme,mousse,,carbone,,,,balance,,
Raquette de padel Starvie Raptor+ 2026,Starvie,Raquettes,281.9,12070,2025-12-31 11:10:37+00:00,forme,mousse,,carbon,,,polyvalente,balance,,poids
Raquette de padel Starvie Astrum+ 2026,Starvie,Raquettes,239.9,12072,2025-12-31 10:33:46+00:00,forme,mousse,,carbone,,,polyvalente,balance,,
Raquette de padel Dunlop Nanomax Pro 2026,Dunlop,Raquettes,114.9,11571,2025-11-06 08:33:57+00:00,forme,mousse,,,,,,,,
Raquette de padel Head Bolt Gris 2026,Head,Raquettes,89.9,12182,2026-01-07 10:29:47+00:00,,foam,,carbone,,,,,,poids
Raquette de padel Head Bolt Rouge 2026,Head,Raquettes,89.9,12179,2026-01-07 09:54:07+00:00,forme,foam,,carbone,,rouge,,,,
Raquette de padel Starvie Black Titan 2026,Starvie,Raquettes,289.9,12067,2025-12-31 09:38:26+00:00,forme,mousse,,carbone,,,,balance,,poids
Raquette de padel Dunlop Megamax Silver 2026,Dunlop,Raquettes,69.9,11573,2025-11-06 09:28:49+00:00,forme,mousse,,,,,,,,
Raquette de padel Dunlop Nanomax Lite 2026,Dunlop,Raquettes,94.9,11572,2025-11-06 08:56:30+00:00,forme,mousse,,,sablée,,polyvalente,,,poids
Raquette de padel Wilson Bela Elite V2.5,Wilson,Raquettes,129.9,7148,2024-03-25 15:39:51+00:00,forme,mousse,,carbone,,rouge,,,,
Mini Raquette Bullpadel Neuron 02 Edge Tour Final 26,Bullpadel,Accessoire,34.9,12003,2025-12-23 15:54:37+00:00,,,,,,,,,,
Mini Raquette Bullpadel Hack 04 Tour Final 26,Bullpadel,Accessoire,34.9,12002,2025-12-23 15:29:49+00:00,,,,,,,,,,
Raquette de padel Royal Padel Whip Light 2026,Royal Padel,Raquettes,259.9,11944,2025-12-17 09:24:14+00:00,,,,carbone,,noir,,,,poids
Mini Raquette Bullpadel Vertex 05 Tour Final 26,Bullpadel,Accessoire,34.9,12004,2025-12-23 16:09:46+00:00,,,,,,,,,,
Raquette de padel Bullpadel Spirit 2026,Bullpadel,Raquettes,69.9,11221,2025-10-16 13:53:16+00:00,forme,mousse,,carbone,,bleu,polyvalente,,,
Pack Siux Electra Pro SE Black 2026,Siux,Raquettes,368.9,12188,2026-01-07 13:08:01+00:00,forme,mousse,,carbone,sand,rouge,,,,
Raquette de padel Royal Padel 36 Aniversario Poly 2026,Royal Padel,Raquettes,319.9,12065,2025-12-31 08:17:07+00:00,forme,mousse,,carbone,sablée,noir,,,,
Raquette de padel Royal Padel 36 Aniversario Light 2026,Royal Padel,Raquettes,319.9,12064,2025-12-30 15:51:11+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Royal Padel Japan Pro Rouge 2026,Royal Padel,Raquettes,319.9,12063,2025-12-30 15:44:31+00:00,forme,mousse,,carbone,sablée,rouge,,,,
Raquette de padel Royal Padel Whip Extreme 2026,Royal Padel,Raquettes,289.9,11945,2025-12-17 09:36:21+00:00,forme,mousse,,carbone,sablée,,,,,
Raquette de padel Royal Padel Japan Pro Bleu 2026,Royal Padel,Raquettes,319.9,11943,2025-12-17 09:22:51+00:00,forme,mousse,,carbone,sablée,bleu,,,,poids
Raquette de padel Royal Padel Whip Poly 2026,Royal Padel,Raquettes,259.9,11941,2025-12-17 09:02:07+00:00,,,,carbone,,rouge,polyvalente,,,
Raquette de padel Royal Padel Efe Extreme 2026,Royal Padel,Raquettes,159.9,11942,2025-12-17 09:01:51+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Bullpadel Hack 04 Junior 2026,Bullpadel,Raquettes,89.9,11987,2025-12-22 10:29:14+00:00,forme,mousse,,carbone,,,,,,poids
Raquette de padel Sane Potential Professional Edition,Sane,Raquettes,229.9,11417,2025-10-30 08:41:02+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Bullpadel Vertex Junior Girl 2026,Bullpadel,Raquettes,89.9,11218,2025-10-14 12:40:57+00:00,forme,mousse,,carbone,,white,,,,poids
Raquette de padel Bullpadel Vertex Junior Boy 2026,Bullpadel,Raquettes,89.9,11217,2025-10-14 12:40:54+00:00,forme,mousse,,carbone,,white,,,,poids
Raquette de padel Bullpadel Hack 04 Tour Final LTD 2026,Bullpadel,Raquettes,389.9,11197,2025-10-13 13:27:40+00:00,forme,mousse,,carbone,,rouge,,,,weight
Pack Wilson Bela Pro 2.5,Wilson,Raquettes,229.9,12013,2025-12-24 13:48:33+00:00,forme,mousse,expert,carbone,,rouge,,,,
Raquette de padel Adidas Metalbone Carbon Control 3.4 2025,Adidas,Raquettes,159.9,8579,2024-11-22 11:26:40+00:00,forme,mousse,,carbone,,,,,,
Raquette de padel Tecnifibre Wall Master 370,Tecnifibre,Raquettes,99.9,4762,2023-06-09 12:38:18+00:00,forme,,,carbone,sablée,,,,,poids
